Unnamed: 0,Rk,PLAYER,POSITION,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM,GP,MPG,W,SALARY_MILLIONS
169,204,Vince Carter,SF,40,24.6,2.6,6.7,394,1.5,4.1,378,1.1,2.7,418,508,1.2,1.6,765,0.5,2.6,3.1,1.8,0.8,0.5,0.7,2.2,8.0,MEM,73,24.7,36,4.26
170,205,Alex Len,C,23,20.3,3.0,6.0,0.4970000000000001,0.0,0.2,0.25,2.9,5.9,503,0.5,1.9,2.7,721,2.0,4.6,6.6,0.6,0.5,1.3,1.3,3.1,8.0,PHX,77,20.3,21,4.82
171,206,D.J. Augustin,PG,29,19.7,2.5,6.6,377,1.2,3.5,0.34700000000000003,1.3,3.1,412,469,1.7,2.1,0.8140000000000001,0.2,1.3,1.5,2.7,0.4,0.0,1.2,1.3,7.9,ORL,78,19.7,29,7.25
172,207,Langston Galloway,PG,25,20.2,2.8,7.4,0.38,1.6,4.2,0.39,1.2,3.2,0.3670000000000001,0.49,0.7,0.9,797,0.4,1.7,2.1,1.3,0.6,0.1,0.6,1.3,7.9,NO/SAC,74,20.2,29,5.2
173,208,Shelvin Mack,PG,26,21.9,3.1,6.9,446,0.7,2.2,308,2.4,4.7,0.51,495,1.0,1.4,688,0.4,1.9,2.3,2.8,0.8,0.1,1.6,1.8,7.8,UTAH,55,21.9,34,2.43
174,209,Sergio Rodriguez,PG,30,22.3,3.1,7.9,392,1.4,3.7,365,1.7,4.2,415,478,0.3,0.4,667,0.3,2.0,2.3,5.1,0.7,0.1,1.9,1.4,7.8,PHI,68,22.3,24,8.0
175,210,Rajon Rondo,PG,30,26.7,3.3,8.1,408,0.7,1.9,376,2.6,6.2,418,453,0.4,0.7,0.6,1.1,4.1,5.1,6.7,1.4,0.2,2.4,2.1,7.8,CHI,69,26.7,34,14.0
176,211,Garrett Temple,SG,30,26.6,2.8,6.6,424,1.3,3.4,373,1.6,3.3,476,519,0.9,1.1,784,0.5,2.3,2.8,2.6,1.3,0.4,1.2,2.2,7.8,SAC,65,26.6,25,8.0
177,213,Matthew Dellavedova,PG,26,26.1,2.7,7.0,0.39,1.0,2.8,0.3670000000000001,1.7,4.2,404,463,1.1,1.3,0.8540000000000001,0.3,1.6,1.9,4.7,0.7,0.0,1.8,2.0,7.6,MIL,76,26.1,39,9.61
178,214,Luol Deng,SF,31,26.5,2.9,7.6,387,0.9,2.9,309,2.0,4.6,436,447,0.8,1.1,0.73,1.1,4.1,5.3,1.3,0.9,0.4,0.8,1.1,7.6,LAL,56,26.5,18,18.0
